,sample,genome_position,time,true_location_0,true_location_1,true_dist_to_center,midpoint_estimated_location_0,midpoint_estimated_location_1,midpoint_error_0,midpoint_abs_error_0,midpoint_error_1,midpoint_abs_error_1,midpoint_abs_error,midpoint_dist_to_center,position_in_arg,arg_estimated_location_0,arg_variance_in_estimated_location_0,arg_estimated_location_1,arg_variance_in_estimated_location_1,arg_error_0,arg_abs_error_0,arg_error_1,arg_abs_error_1,arg_abs_error,arg_dist_to_center,window_0_estimated_location_0,window_0_variance_in_estimated_location_0,window_0_estimated_location_1,window_0_variance_in_estimated_location_1,window_0_error_0,window_0_abs_error_0,window_0_error_1,window_0_abs_error_1,window_0_abs_error,window_0_dist_to_center,window_100_estimated_location_0,window_100_variance_in_estimated_location_0,window_100_estimated_location_1,window_100_variance_in_estimated_location_1,window_100_error_0,window_100_abs_error_0,window_100_error_1,window_100_abs_error_1,window_100_abs_error,window_100_dist_to_center
0,146,32585.065282054627,988,71.41958830803125,28.2280845663722,30.58271409272427,75.98537649085708,22.485585075357186,-4.565788182825827,4.565788182825827,5.742499491015014,5.742499491015014,7.336397081315846,37.871580318933006,32585.065282054627,61.83278461994355,57.31929335063447,38.20415490090161,50.48021678380308,9.586803688087699,9.586803688087699,-9.976070334529407,9.976070334529407,13.835779135032821,16.760712427897882,70.94609732583051,107.06667092941082,25.93324492996693,76.39963648117254,0.4734909822007438,0.4734909822007438,2.294839636405271,2.294839636405271,2.3431778991451124,31.90591629190675,71.3754874161605,105.81074310212999,30.221233689667045,87.44490267388336,0.04410089187075528,0.04410089187075528,-1.9931491232948453,1.9931491232948453,1.9936369570096775,29.193832813244295
1,147,14832.446024553692,947,79.76091468452806,44.56442122242259,30.659716885908274,77.63160836622856,66.64582374930873,2.1293063182994985,2.1293063182994985,-22.081402526886144,22.081402526886144,22.1838293121707,32.8995064821251,14832.446024553692,67.5743120595253,89.11512956969781,47.44714645743572,78.48231889176371,12.186602625002763,12.186602625002763,-2.882725235013133,2.882725235013133,12.522914529785218,18.18619240303713,82.90257363433034,203.13799510940524,61.53418739233073,203.13799510940524,-3.1416589498022773,3.1416589498022773,-16.96976616990814,16.96976616990814,17.258128079784075,35.470064297334055,77.37073914022587,130.33209025312152,56.156572631491386,130.33209025312152,2.3901755443021955,2.3901755443021955,-11.592151409068798,11.592151409068798,11.836000736032252,28.627242537921976
2,208,491296.4241474037,568,51.93530191157781,51.84843845392837,3.3278980285727795,53.92307859544048,50.190027099937524,-1.9877766838626698,1.9877766838626698,1.658411353990843,1.658411353990843,2.588741849616105,4.454669384792075,491296.4241474037,49.77267154216348,46.29009783640092,53.366017084789235,40.76697455829865,2.1626303694143303,2.1626303694143303,-1.5175786308608679,1.5175786308608679,2.6419718044594473,3.8075503655847274,50.676568045291305,130.8610300819609,53.0991308707861,93.65210688748519,1.258733866286505,1.258733866286505,-1.2506924168577314,1.2506924168577314,1.7744414523229575,3.7187480394418797,48.73631683722886,68.86796154908113,56.35668836805978,51.64448791243908,3.198985074348947,3.198985074348947,-4.508249914131412,4.508249914131412,5.527913059570784,6.833480728439355
3,167,810618.7891977247,70,77.17357287975126,44.090563198275035,28.198415920634396,79.27525187942005,47.901904304833224,-2.101678999668792,2.101678999668792,-3.8113411065581886,3.8113411065581886,4.352398838363623,29.80967689194863,810618.7891977247,76.51368250154829,25.045622530345486,49.19796248832644,22.057293119143942,0.6598903782029737,0.6598903782029737,-5.107399290051404,5.107399290051404,5.149852698792699,27.004072323848643,79.8302285720844,14.616466740419408,47.781005730675915,11.093772581000003,-2.656655692333132,2.656655692333132,-3.69044253240088,3.69044253240088,4.54721734168925,30.37067387625585,79.63094601903036,17.381925011886096,47.16625803926426,13.63513082807987,-2.457373139279099,2.457373139279099,-3.0756948409892217,3.0756948409892217,3.936823783272262,30.214368748524667
4,133,490085.5818969966,155,51.43767717787541,86.95598315433496,37.43814288200326,47.4627982598273,87.31609270261076,3.9748789180481054,3.9748789180481054,-0.3601095482758012,0.3601095482758012,3.991157889623346,37.80428925406814,490085.5818969966,52.839566577299124,49.822940786969774,80.0052802469846,43.87829480638528,-1.401889399423716,1.401889399423716,6.950702907350362,6.950702907350362,7.090667443510896,30.619224353369326,47.46135617744129,39.22961130021866,86.94047626122772,28.07509423043296,3.976321000434119,3.976321000434119,0.015506893107243513,0.015506893107243513,3.976351237281137,37.42930964195626,47.735685793871426,44.64566797272665,87.08697738253706,33.478520916452815,3.701991384003982,3.701991384003982,-0.13099422820209838,0.13099422820209838,3.7043082613440776,37.56161814223801
5,63,952399.2311419316,1526,82.62784325657809,76.10666862906741,42.43799301055817,75.21037169836137,84.04968738396718,7.417471558216718,7.417471558216718,-7.943018754899768,7.943018754899768,10.867862313152639,43.004976812135794,952399.2311419316,61.41512527985538,142.06608051503625,65.65247800341076,125.11540395577592,21.212717976722708,21.212717976722708,10.45419062565665,10.45419062565665,23.648879584401925,20.010276209610893,78.90712924222552,187.8473622969214,83.98826626609814,159.0558891877586,3.7207140143525663,3.7207140143525663,-7.881597637030723,7.881597637030723,8.71569240443052,45.264359280333345,78.313361487355,189.31053433878395,78.2741028421966,165.27377383632404,4.314481769223093,4.314481769223093,-2.1674342131291837,2.1674342131291837,4.828304464840774,40.66430661907068
6,92,44556.38245043303,1761,78.00917187855488,77.19472121545995,39.69068363579626,79.86718833333653,79.07356683819155,-1.858016454781648,1.858016454781648,-1.8788456227316033,1.8788456227316033,2.6424015630288045,42.332535354890055,44556.38245043303,60.995585683961835,297.8979314556978,65.5506827165231,262.3541094154762,17.013586194593046,17.013586194593046,11.644038498936851,11.644038498936851,20.616637644523188,19.680833520113836,75.85042694878867,360.1577945613515,74.26929605728822,262.32096738044476,2.1587449297662147,2.1587449297662147,2.925425158171734,2.925425158171734,3.6356969108900503,36.10941188443532,72.14819785199654,192.41790081272646,76.25686756140627,159.48775944562567,5.860974026558338,5.860974026558338,0.9378536540536828,0.9378536540536828,5.9355358659866,34.99599132177137
7,35,603190.610968185,781,2.0606372083850073,22.774840972574534,54.492986560789824,8.101264722091736,13.495582650414933,-6.040627513706729,6.040627513706729,9.2792583221596,9.2792583221596,11.072209163880483,54.91844597427842,603190.610968185,25.595678777514987,79.3562374293591,29.230139800410484,69.88781323726235,-23.53504156912998,23.53504156912998,-6.45529882783595,6.45529882783595,24.404283734978506,31.39427917586021,10.211188825309527,91.16049256030263,17.9596965678422,66.87838288045627,-8.15055161692452,8.15055161692452,4.815144404732333,4.815144404732333,9.466631253966534,50.43422333319476,10.45044932348689,96.58511382816955,19.41620211861381,71.93763580928434,-8.389812115101883,8.389812115101883,3.3586388539607235,3.3586388539607235,9.03711249670186,49.34480361738543
8,107,283618.2179067152,1382,18.347173024701945,11.598696749603588,49.121041561872815,26.325199499247073,23.192368654947774,-7.978026474545128,7.978026474545128,-11.593671905344186,11.593671905344186,14.073454965903364,35.118027795094754,283618.2179067152,34.80833075520433,66.20817110098628,36.522358568617676,58.30851419594339,-16.461157730502386,16.461157730502386,-24.923661819014086,24.923661819014086,29.869024629154847,19.656418592776415,21.702312194685987,154.57536898148933,20.71697594822674,108.63293865363335,-3.3551391699840423,3.3551391699840423,-9.118279198623151,9.118279198623151,9.715964923465135,40.071596021578436,24.26931033257073,82.28777153399805,23.266003113527923,63.340961305010964,-5.922137307868784,5.922137307868784,-11.667306363924334,11.667306363924334,13.084255732861559,36.45494899070822
9,67,456831.15105830564,1404,42.64320211560405,96.21180242684564,47.14746447635252,29.198351428199445,83.56297450268502,13.444850687404603,13.444850687404603,12.648827924160614,12.648827924160614,18.459600696158876,39.602393953428184,456831.15105830564,44.94938113150646,100.5669019814485,64.54753507994508,88.56771806735475,-2.3061790159024156,2.3061790159024156,31.66426734690056,31.66426734690056,31.748138343364037,15.659612586436799,34.00125436015627,304.1752972896215,85.36250970801149,304.1752972896215,8.64194775544778,8.64194775544778,10.84929271883415,10.84929271883415,13.87048714021381,39.011255127311685,40.00076700797521,273.1355672759735,83.34545251809281,273.1355672759735,2.6424351076288346,2.6424351076288346,12.866349908752824,12.866349908752824,13.134893348348635,35.091645985660726
