,sample,genome_position,time,true_location_0,true_location_1,true_dist_to_center,midpoint_estimated_location_0,midpoint_estimated_location_1,midpoint_error_0,midpoint_abs_error_0,midpoint_error_1,midpoint_abs_error_1,midpoint_abs_error,midpoint_dist_to_center,position_in_arg,arg_estimated_location_0,arg_variance_in_estimated_location_0,arg_estimated_location_1,arg_variance_in_estimated_location_1,arg_error_0,arg_abs_error_0,arg_error_1,arg_abs_error_1,arg_abs_error,arg_dist_to_center,window_0_estimated_location_0,window_0_variance_in_estimated_location_0,window_0_estimated_location_1,window_0_variance_in_estimated_location_1,window_0_error_0,window_0_abs_error_0,window_0_error_1,window_0_abs_error_1,window_0_abs_error,window_0_dist_to_center,window_100_estimated_location_0,window_100_variance_in_estimated_location_0,window_100_estimated_location_1,window_100_variance_in_estimated_location_1,window_100_error_0,window_100_abs_error_0,window_100_error_1,window_100_abs_error_1,window_100_abs_error,window_100_dist_to_center
0,73,32585.065282054627,988,31.827058859744998,79.88613712706933,36.517452418392566,19.39910263638411,78.03093433025337,12.427956223360887,12.427956223360887,1.8552027968159592,1.8552027968159592,12.565662469885476,42.07052018899866,32585.065282054627,35.36307114965706,111.53958455953104,60.09939421333749,89.55390489782104,-3.536012289912062,3.536012289912062,19.786742913731842,19.786742913731842,20.100213383159055,18.071175119118152,25.3470723202947,116.90662286437102,77.68731111049154,81.80971321070912,6.479986539450298,6.479986539450298,2.1988260165777973,2.1988260165777973,6.842883997455783,38.01094742975119,21.265660479086392,78.11972212055605,68.72409462994716,65.09276183338216,10.561398380658606,10.561398380658606,11.162042497122172,11.162042497122172,15.366662892851512,34.321375645401055
1,73,14832.446024553692,947,41.035030725178814,77.27971352373059,30.948044257390702,19.317378000548025,77.68461988618256,21.71765272463079,21.71765272463079,-0.40490636245196754,0.40490636245196754,21.721426956579467,41.87242455099384,14832.446024553692,35.52654752269685,104.56041929143022,58.93835767139369,83.950409913024,5.508483202481962,5.508483202481962,18.341355852336903,18.341355852336903,19.150684627294115,17.136768357139157,25.018518983001012,118.39540942275342,77.35525633444749,81.82094299449577,16.0165117421778,16.0165117421778,-0.07554281071689672,0.07554281071689672,16.016689892220874,37.94177933817954,21.309171847329544,78.89211501235737,68.3799275384963,64.54853033973293,19.72585887784927,19.72585887784927,8.899785985234288,8.899785985234288,21.640603019597155,34.071665018356164
2,62,823588.8725334455,1338,91.35824157680733,68.37096533787417,48.35856571431682,76.40588092903059,79.23517230266594,14.952360647776743,14.952360647776743,-10.864206964791776,10.864206964791776,18.482534510045223,42.933631035640886,823588.8725334455,65.25028863822227,199.08004710897697,63.90156718067496,159.83917885524903,26.107952938585058,26.107952938585058,4.469398157199208,4.469398157199208,26.48774672430533,24.128403825398493,80.54450927828961,140.9035323765575,89.2899893822925,86.6847909734955,10.81373229851772,10.81373229851772,-20.919024044418336,20.919024044418336,23.548723387796585,53.322855123041386,75.75820932527543,135.86843883386715,79.50936441448538,106.45137764284011,15.6000322515319,15.6000322515319,-11.138399076611208,11.138399076611208,19.168331702020623,42.71436020773881
3,20,34403.57387564597,1003,4.81326118622389,0.37298226684001273,63.58310678602977,36.17206055659866,15.359665360630524,-31.35879937037477,31.35879937037477,-14.98668309379051,14.98668309379051,34.755934286178,33.85423834078533,34403.57387564597,28.638491543356444,107.0734816506682,29.12560087085687,85.96812002383561,-23.825230357132554,23.825230357132554,-28.75261860401686,28.75261860401686,37.34105887837792,26.369420248372027,31.964991995722908,215.3926332728445,11.992300969001104,163.2227177938072,-27.151730809499018,27.151730809499018,-11.61931870216109,11.61931870216109,29.533456503665274,38.57275107396529,21.8477075353958,95.29644381718734,19.694483705973344,79.40515599105724,-17.03444634917191,17.03444634917191,-19.321501439133332,19.321501439133332,25.75835360199187,37.83572541570445
4,41,76089.34678134815,1950,93.94685775159421,58.886623494753614,47.505212465971574,59.64304874574441,57.35442395238188,34.3038090058498,34.3038090058498,1.5321995423717354,1.5321995423717354,34.33801024735513,15.565864464706042,76089.34678134815,60.48078740642365,579.0509710733915,57.251314572113735,464.9136519494622,33.46607034517056,33.46607034517056,1.6353089226398794,1.6353089226398794,33.506000949387705,16.14091330357928,72.08814327352292,706.280126898851,84.49250281003212,706.280126898851,21.858714478071292,21.858714478071292,-25.605879315278507,25.605879315278507,33.666963839087884,44.51331359731289,71.2820395889183,559.8039240265474,79.19506430494745,559.8039240265474,22.664818162675914,22.664818162675914,-20.308440810193837,20.308440810193837,30.432330677887794,39.68767087015338
5,95,996556.9925394552,91,14.223648669575628,35.633413303801845,35.60127575698608,22.72136682229589,38.74645181624719,-8.497718152720264,8.497718152720264,-3.1130385124453426,3.1130385124453426,9.04998467308312,26.554494140212807,996556.9925394552,23.405632384157027,46.0595463144465,38.881787960570236,36.98070282913082,-9.1819837145814,9.1819837145814,-3.248374656768391,3.248374656768391,9.73964901038909,25.862569380242785,22.485033152758337,30.486901896281406,38.22314569728371,30.486901896281406,-8.26138448318271,8.26138448318271,-2.5897323934818672,2.5897323934818672,8.657781901204336,26.94690032380092,22.549575645595628,30.332418098465226,37.849344770084464,30.332418098465226,-8.32592697602,8.32592697602,-2.215931466282619,2.215931466282619,8.615765332997352,27.01181263846463
6,53,860161.037286291,1235,86.46537314959284,41.19253342345144,38.99182731795534,84.59504472935713,35.90063448753183,1.8703284202357082,1.8703284202357082,5.291898935919605,5.291898935919605,5.612693003142827,38.344624709932866,860161.037286291,65.79078999135655,113.8507544818863,37.392097825113055,91.40951779297971,20.67458315823629,20.67458315823629,3.8004355983383817,3.8004355983383817,21.02098236296166,20.33702526880532,87.01560855505298,366.11775451619917,31.878162284146633,366.11775451619917,-0.5502354054601426,0.5502354054601426,9.314371139304804,9.314371139304804,9.330609236386238,41.952829042004296,82.22937540457303,193.32268956478612,38.41218669169069,193.32268956478612,4.235997745019802,4.235997745019802,2.780346731760744,2.780346731760744,5.066952224426978,35.389521655821476
7,45,381605.98591911787,580,98.43830890227672,26.12570093465624,54.69801783795175,90.1875191367245,24.804755028917,8.250789765552213,8.250789765552213,1.32094590573924,1.32094590573924,8.355862004678537,47.78678671875281,381605.98591911787,77.39864263769329,134.03966197766937,30.100545356876637,107.61896943302322,21.03966626458343,21.03966626458343,-3.9748444222203965,3.9748444222203965,21.411841226431385,34.02888941156396,88.56602508797128,191.36996566725455,26.390857295233243,191.36996566725455,9.872283814305433,9.872283814305433,-0.2651563605770022,0.2651563605770022,9.87584404523236,45.61702851739414,83.85513953348364,129.99195281488005,27.39420219303541,129.99195281488005,14.58316936879308,14.58316936879308,-1.268501258379171,1.268501258379171,14.638235012507971,40.98326193711328
8,86,262321.11049317673,357,31.71899978558035,22.949184984292025,29.091199068200186,27.636492333092754,34.9935688295368,4.082507452487597,4.082507452487597,-12.044383845244774,12.044383845244774,12.717470240232924,23.630253649851632,262321.11049317673,33.48596043983767,52.49936090037208,27.443871659026147,42.15115908701456,-1.7669606542573177,1.7669606542573177,-4.4946866747341225,4.4946866747341225,4.829529817459038,24.39622734812094,26.574929613884123,92.24847403837687,32.73673065385066,92.24847403837687,5.144070171696228,5.144070171696228,-9.787545669558632,9.787545669558632,11.057011719494142,25.73647722393043,30.23458785038659,72.3627612756799,31.348118875202985,72.3627612756799,1.4844119351937621,1.4844119351937621,-8.39893389091096,8.39893389091096,8.529101318265507,23.69247559345271
9,87,303105.1133710616,742,64.27628608077526,47.96234051562956,16.373639588813386,76.48517874484153,62.55767034105113,-12.20889266406627,12.20889266406627,-14.595329825421565,14.595329825421565,19.028418557398076,32.471048086978435,303105.1133710616,64.94490909546244,114.40751461320842,52.325489142270975,91.85653437501395,-0.6686230146871708,0.6686230146871708,-4.3631486266414115,4.3631486266414115,4.4140823139053715,17.80163157484691,75.54641584859979,70.95110795092397,64.5283744729803,50.588942628605,-11.270129767824528,11.270129767824528,-16.56603395735074,16.56603395735074,20.03619989069041,32.655831979579034,73.54798892188764,101.54182724945188,60.00419710677687,78.63779206796137,-9.271702841112372,9.271702841112372,-12.041856591147308,12.041856591147308,15.197722978645489,28.685252796134215
