,Unnamed: 0,sample,genome_position,time,true_location_0,true_location_1,midpoint_estimated_location_0,midpoint_estimated_location_1,midpoint_error_0,midpoint_abs_error_0,position_in_arg,arg_estimated_location_0,arg_variance_in_estimated_location_0,arg_estimated_location_1,arg_variance_in_estimated_location_1,arg_error_0,arg_abs_error_0,window_0_estimated_location_0,window_0_variance_in_estimated_location_0,window_0_estimated_location_1,window_0_variance_in_estimated_location_1,window_0_error_0,window_0_abs_error_0,window_100_estimated_location_0,window_100_variance_in_estimated_location_0,window_100_estimated_location_1,window_100_variance_in_estimated_location_1,window_100_error_0,window_100_abs_error_0,midpoint_error_1,midpoint_abs_error_1,arg_error_1,arg_abs_error_1,window_0_error_1,window_0_abs_error_1,window_100_error_1,window_100_abs_error_1,midpoint_abs_error,arg_abs_error,window_0_abs_error,window_100_abs_error
355,355,160,900973.9100090952,1395,99.78516880360392,99.34189560588818,70.25583028798734,85.06241613894153,29.529338515616587,29.529338515616587,900973.9100090952,62.04743246028344,212.35844927259,68.5907982294572,191.8565781309448,37.737736343320485,37.737736343320485,68.76787396566326,199.99461139009316,81.63256169585615,162.81466927181845,31.017294837940668,31.017294837940668,69.57946089706859,185.64812727671935,72.24064967506816,162.65599151630371,30.205707906535338,30.205707906535338,14.279479466946654,14.279479466946654,30.751097376430977,30.751097376430977,17.70933391003203,17.70933391003203,27.101245930820028,27.101245930820028,32.80069156308794,48.680249939505366,35.71684597778408,40.581551487562926
356,356,327,670237.6837187322,102,98.71609062513195,92.52199544561394,93.11689336985006,87.42734302479535,5.599197255281894,5.599197255281894,670237.6837187322,91.3071546650102,19.689511153831237,89.43732640676151,17.788612828850205,7.408935960121767,7.408935960121767,92.00015366357576,24.794875585579188,87.67326903126843,24.794875585579188,6.715936961556196,6.715936961556196,91.6543599503316,24.61726627136241,87.42018534997784,24.61726627136241,7.061730674800344,7.061730674800344,5.094652420818591,5.094652420818591,3.084669038852425,3.084669038852425,4.848726414345506,4.848726414345506,5.101810095636097,5.101810095636097,7.570105229949516,8.025429280757521,8.283354218718918,8.711860098472112
357,357,27,761752.3490235757,346,88.68018201531869,90.588513388079,80.70484429374231,84.4987865642626,7.9753377215763805,7.9753377215763805,761752.3490235757,80.3716302771447,70.75924744083957,81.97824487932519,63.9278876429079,8.308551738173989,8.308551738173989,80.64026810673835,55.604793292222936,87.51899284172865,45.9590215601197,8.039913908580345,8.039913908580345,82.68179382360253,50.53917161591023,85.50056634442188,41.793534229965694,5.99838819171616,5.99838819171616,6.089726823816392,6.089726823816392,8.610268508753805,8.610268508753805,3.069520546350347,3.069520546350347,5.08794704365711,5.08794704365711,10.03447978531563,11.96531469618545,8.605938184872736,7.865612882514558
358,358,289,535683.55690545,1126,81.45789811772187,40.217748136920726,76.90686745577514,76.2949448629013,4.551030661946726,4.551030661946726,535683.55690545,64.86575696504204,39.02198634503368,42.53643064968865,35.25465926915178,16.59214115267983,16.59214115267983,73.90726003973991,280.974118621441,75.52024608886826,240.97304136313355,7.550638077981958,7.550638077981958,77.4031832562745,165.34560605308596,65.09914231022923,140.4311900855717,4.054714861447366,4.054714861447366,-36.07719672598058,36.07719672598058,-2.3186825127679214,2.3186825127679214,-35.30249795194754,35.30249795194754,-24.8813941733085,24.8813941733085,36.363113228807606,16.75337090335755,36.10094869988781,25.209611036570802
359,359,77,60481.94747314817,604,82.69164778315985,67.52564595429672,67.58659983315529,70.25919561706682,15.10504795000456,15.10504795000456,60481.94747314817,70.91376076956382,57.97620917031653,65.77248130685021,52.3789712277605,11.777887013596027,11.777887013596027,69.81809276608345,54.40067803301053,74.63438689775445,52.008281780780834,12.8735550170764,12.8735550170764,69.80145128972123,60.73828206078152,74.12524268851831,58.2394101746222,12.890196493438625,12.890196493438625,-2.733549662770102,2.733549662770102,1.7531646474465106,1.7531646474465106,-7.108740943457732,7.108740943457732,-6.599596734221592,6.599596734221592,15.350399582120573,11.907653370252687,14.705870140147617,14.481430961538495
360,360,180,919476.1772533088,1554,22.421717962468463,11.07762010308813,15.873948738331316,13.214379913176,6.547769224137149,6.547769224137149,919476.1772533088,35.872458485678,85.74814216114711,40.67939780714693,77.46969895700272,-13.45074052320954,13.45074052320954,13.48764829639285,476.6625444367263,10.543643099994684,476.6625444367263,8.934069666075613,8.934069666075613,17.635057364910942,350.3520107703968,22.65164020478205,350.3520107703968,4.786660597557521,4.786660597557521,-2.13675981008787,2.13675981008787,-29.601777704058797,29.601777704058797,0.5339770030934456,0.5339770030934456,-11.574020101693922,11.574020101693922,6.887599313154356,32.514422397810236,8.950012974187528,12.524777881887754
361,361,186,307858.8981898869,524,78.26383151494372,12.60156906930636,77.8580080062033,29.15079628105206,0.4058235087404114,0.4058235087404114,307858.8981898869,69.48250603467623,81.44435289688788,35.41586096036805,73.58141344698015,8.781325480267483,8.781325480267483,79.57783633490229,104.84295886113856,31.81117308660784,90.07592734286148,-1.3140048199585692,1.3140048199585692,77.13870713986934,95.07476749209388,29.95134508192806,84.36327278397198,1.1251243750743782,1.1251243750743782,-16.549227211745702,16.549227211745702,-22.814291891061693,22.814291891061693,-19.20960401730148,19.20960401730148,-17.349776012621703,17.349776012621703,16.55420230715545,24.44593200679733,19.254492856691904,17.38621961633782
362,362,36,199198.8469107131,1986,44.63104092197376,85.30223604732947,51.038005083572486,73.73744503610575,-6.406964161598722,6.406964161598722,199198.8469107131,49.69641647294115,197.9391519754822,64.76926996640682,178.8293731953653,-5.065375550967389,5.065375550967389,50.98172328699612,506.4987275690145,79.25538986853658,474.4889394095947,-6.350682365022358,6.350682365022358,42.41876039632267,464.1197731639924,74.01873613658788,437.6505751211226,2.212280525651096,2.212280525651096,11.564791011223718,11.564791011223718,20.532966080922648,20.532966080922648,6.04684617879289,6.04684617879289,11.283499910741597,11.283499910741597,13.220952344717507,21.14853956075119,8.769008792981573,11.498328372414866
363,363,411,354671.4547844497,143,34.45097331959625,44.20529347924015,39.85664735450848,57.29367308860707,-5.405674034912231,5.405674034912231,354671.4547844497,37.96620126775335,39.81143743208382,53.97897334038689,35.96789382460276,-3.515227948157097,3.515227948157097,39.98271924260837,26.132523054100968,56.84298497541502,21.77721161409041,-5.531745923012117,5.531745923012117,40.370607865440206,28.585247740982247,57.358276804219294,24.84019134503982,-5.919634545843955,5.919634545843955,-13.088379609366925,13.088379609366925,-9.77367986114674,9.77367986114674,-12.637691496174874,12.637691496174874,-13.152983324979147,13.152983324979147,14.160755367232928,10.386608953633043,13.795341942454776,14.423697289652493
364,364,331,71075.41515982163,1155,77.85801690934586,19.35845570193186,56.09959504518207,8.438793014948967,21.758421864163797,21.758421864163797,71075.41515982163,58.6151510355743,65.00502727061028,37.69454646555846,58.72920119810746,19.242865873771564,19.242865873771564,57.02513703252784,219.5965935679943,8.8646875737371,210.27294613615243,20.832879876818023,20.832879876818023,48.72865891027676,111.97440100354,21.54069160406742,107.27754631252368,29.1293579990691,29.1293579990691,10.919662686982893,10.919662686982893,-18.3360907636266,18.3360907636266,10.493768128194759,10.493768128194759,-2.1822359021355595,2.1822359021355595,24.34477264663623,26.580069817965395,23.326552541904803,29.210985107840855
