,sample,genome_position,time,true_location_0,true_location_1,midpoint_estimated_location_0,midpoint_estimated_location_1,midpoint_error_0,midpoint_abs_error_0,midpoint_error_1,midpoint_abs_error_1,midpoint_abs_error,midpoint_central,position_in_arg,arg_estimated_location_0,arg_variance_in_estimated_location_0,arg_estimated_location_1,arg_variance_in_estimated_location_1,arg_error_0,arg_abs_error_0,arg_error_1,arg_abs_error_1,arg_abs_error,arg_central,window_0_estimated_location_0,window_0_variance_in_estimated_location_0,window_0_estimated_location_1,window_0_variance_in_estimated_location_1,window_0_error_0,window_0_abs_error_0,window_0_error_1,window_0_abs_error_1,window_0_abs_error,window_0_central,window_100_estimated_location_0,window_100_variance_in_estimated_location_0,window_100_estimated_location_1,window_100_variance_in_estimated_location_1,window_100_error_0,window_100_abs_error_0,window_100_error_1,window_100_abs_error_1,window_100_abs_error,window_100_central
543,395,106972.4872750285,227,88.2318625995425,93.9046079834626,86.14542758033872,89.40476259181203,2.086435019203776,2.086435019203776,4.499845391650567,4.499845391650567,4.9600221408899685,False,106972.4872750285,80.81371713996629,43.29231075074041,88.44537557996665,39.11271074200035,7.418145459576209,7.418145459576209,5.459232403495946,5.459232403495946,9.2104343271537,False,83.29999855157313,36.505625528705124,87.2461523968383,35.8759469357967,4.93186404796937,4.93186404796937,6.658455586624299,6.658455586624299,8.286031244612897,False,83.27471654662267,41.7461447409693,87.1598864880028,40.72936894837813,4.957146052919825,4.957146052919825,6.7447214954598,6.7447214954598,8.37045787524769,False
544,487,640390.5047195769,1857,62.930938450962785,37.59614721186552,53.0170833759448,17.306724462377787,9.913855075017985,9.913855075017985,20.289422749487734,20.289422749487734,22.581966211025343,True,640390.5047195769,51.91687543696559,142.58764730534975,42.0954706057562,128.8217077750032,11.014063013997195,11.014063013997195,-4.499323393890677,4.499323393890677,11.89762560678024,False,64.69728370881346,404.61223600583844,24.662899223658588,404.61223600583844,-1.7663452578506735,1.7663452578506735,12.933247988206933,12.933247988206933,13.053309124294508,True,62.99513687844249,354.5857880184451,29.132764766688524,354.5857880184451,-0.0641984274797025,0.0641984274797025,8.463382445176997,8.463382445176997,8.463625928136299,True
545,446,710016.2480536199,1869,6.104900958816145,24.173536851025688,31.92308109394698,33.2160407997673,-25.818180135130834,25.818180135130834,-9.042503948741611,9.042503948741611,27.35590070081905,False,710016.2480536199,34.5934630191719,150.9642103157783,42.11970000251913,136.38956637061833,-28.488562060355754,28.488562060355754,-17.946163151493444,17.946163151493444,33.669911495677596,False,33.88279208512588,872.9233535780006,33.17782396996392,872.9233535780006,-27.777891126309733,27.777891126309733,-9.00428711893823,9.00428711893823,29.20082913112903,False,25.123802294702227,286.6695548335889,37.80750527162403,286.6695548335889,-19.01890133588608,19.01890133588608,-13.633968420598343,13.633968420598343,23.40093380440281,False
546,190,164792.4075295093,562,8.331218362835362,69.54499112518526,8.346065298108988,66.86100885119075,-0.014846935273626016,0.014846935273626016,2.6839822739945163,2.6839822739945163,2.684023337939481,False,164792.4075295093,22.777190140018213,46.988110130614025,54.95648218746867,42.451703962707306,-14.445971777182852,14.445971777182852,14.58850893771659,14.58850893771659,20.53072559879461,False,9.752755065076478,117.37624750438665,66.30137514851884,112.69809057868211,-1.4215367022411165,1.4215367022411165,3.243615976666419,3.243615976666419,3.541441966191765,False,12.233741323684384,103.06153383882928,62.34033501611007,100.87156583647482,-3.902522960849023,3.902522960849023,7.204656109075195,7.204656109075195,8.193702161415702,False
547,162,189029.10874069657,1105,33.65295125416585,69.83970164736176,49.26906699972714,56.29981487268959,-15.616115745561288,15.616115745561288,13.539886774672176,13.539886774672176,20.668614004081398,False,189029.10874069657,39.30660799374927,66.8502140149484,59.14636119373987,60.39624678067749,-5.653656739583418,5.653656739583418,10.693340453621893,10.693340453621893,12.095923469752258,False,45.56860524664616,187.74133792505876,54.45514177358368,187.74133792505876,-11.915653992480308,11.915653992480308,15.384559873778088,15.384559873778088,19.459380580541993,False,36.4124453962011,132.39050078196124,61.756360242582204,132.39050078196124,-2.7594941420352512,2.7594941420352512,8.08334140477956,8.08334140477956,8.541382568773656,False
548,106,956443.4918440554,410,96.30929888467469,4.7985439639936525,92.00973937476365,12.098276446388617,4.299559509911035,4.299559509911035,-7.2997324823949645,7.2997324823949645,8.471853769618463,False,956443.4918440554,83.98913475344774,42.31784678268456,21.12749256614391,38.23232513425317,12.320164131226946,12.320164131226946,-16.32894860215026,16.32894860215026,20.4553417637554,False,90.7339402155269,149.89799209536633,13.125874311528847,149.89799209536633,5.575358669147789,5.575358669147789,-8.327330347535195,8.327330347535195,10.02142978853926,False,91.05841312969413,107.52897449285001,13.207219963670706,107.52897449285001,5.250885754980558,5.250885754980558,-8.408675999677055,8.408675999677055,9.913507617357373,False
549,273,446016.07933914533,956,0.6400056066093194,17.935237330242966,16.781538958356553,19.491493050977024,-16.141533351747235,16.141533351747235,-1.5562557207340575,1.5562557207340575,16.21638155736001,False,446016.07933914533,28.1331616117524,50.36423356681382,37.47597967639724,45.50188393923149,-27.49315600514308,27.49315600514308,-19.54074234615427,19.54074234615427,33.730019842299555,False,17.663429897972442,133.88743095849722,15.96079431768943,114.76489133941604,-17.023424291363124,17.023424291363124,1.974443012553536,1.974443012553536,17.137543575833543,False,23.219748457554445,129.26174406398928,21.40347663518113,108.59550222707018,-22.579742850945127,22.579742850945127,-3.4682393049381623,3.4682393049381623,22.844550139828222,False
550,298,546411.6464658662,613,98.77824174140862,20.37483328273873,91.40528685630287,19.404452438342087,7.372954885105756,7.372954885105756,0.9703808443966437,0.9703808443966437,7.436538356048247,False,546411.6464658662,75.87181595142657,79.91487164789943,30.964095543075782,72.19959398205414,22.906425789982052,22.906425789982052,-10.589262260337051,10.589262260337051,25.235625961924413,False,90.57754735208854,201.3930852889239,16.923109795011637,201.3930852889239,8.200694389320077,8.200694389320077,3.4517234877270937,3.4517234877270937,8.89751558036021,False,89.1985190883488,100.69104144887166,20.144983212444213,100.69104144887166,9.579722653059818,9.579722653059818,0.22985007029451765,0.22985007029451765,9.58247969809286,False
551,336,446426.7325907319,1,4.024742506159696,82.06625284908318,4.2862996733597285,81.68292783304472,-0.2615571672000323,0.2615571672000323,0.38332501603846936,0.38332501603846936,0.4640584226523622,False,446426.7325907319,4.338714149089039,0.6434749427391872,81.62089628739285,0.5813514887202603,-0.3139716429293431,0.3139716429293431,0.4453565616903319,0.4453565616903319,0.5449042664582333,False,4.292204504034957,0.33438742886478673,81.64540931410687,0.28662837627252574,-0.2674619978752606,0.2674619978752606,0.42084353497631355,0.42084353497631355,0.49864336076878185,False,4.296943141353188,0.3852683782627405,81.65137016802558,0.32367204490865925,-0.27220063519349136,0.27220063519349136,0.4148826810576054,0.4148826810576054,0.49620643369598394,False
552,176,2914.087932876064,1077,69.62919250522626,79.15402077429779,63.590921688131345,68.91365612079747,6.0382708170949115,6.0382708170949115,10.240364653500322,10.240364653500322,11.888052098524755,False,2914.087932876064,59.212117077554424,80.09185149216587,64.70684140330106,72.35948753672746,10.417075427671833,10.417075427671833,14.447179370996736,14.447179370996736,17.811132817526175,False,66.72574356469774,186.97372862883745,80.36182253475084,173.38501645518795,2.90344894052852,2.90344894052852,-1.2078017604530515,1.2078017604530515,3.144646378022444,False,66.56234784079876,209.32803162140948,80.33921077976876,200.94150209112385,3.0668446644274923,3.0668446644274923,-1.1851900054709716,1.1851900054709716,3.287888615022665,False
