,sample,genome_position,time,true_location_0,true_location_1,position_in_arg,arg_estimated_location_0,arg_variance_in_estimated_location_0,arg_estimated_location_1,arg_variance_in_estimated_location_1,window_0_estimated_location_0,window_0_variance_in_estimated_location_0,window_0_estimated_location_1,window_0_variance_in_estimated_location_1,window_100_estimated_location_0,window_100_variance_in_estimated_location_0,window_100_estimated_location_1,window_100_variance_in_estimated_location_1,window_200_estimated_location_0,window_200_variance_in_estimated_location_0,window_200_estimated_location_1,window_200_variance_in_estimated_location_1
0,585,32585.065282054627,988,76.45443151015093,42.73184243701018,32585.065282054627,62.733036231230884,48.65944960118449,43.08747809009695,48.65944960118449,66.04641956820741,197.56190456941133,39.54403924265186,197.56190456941133,68.39465981955398,136.4959948027164,38.3409264966994,136.4959948027164,69.81648446876068,97.33110740282449,34.22528376084301,97.33110740282449
1,591,14832.446024553692,947,97.45564375696176,31.015725224409067,14832.446024553692,69.80017965172286,74.10133198011658,38.91051031806294,74.10133198011658,92.9304998899316,272.598878719269,26.469618948719756,272.598878719269,90.18126490921063,240.62566139046032,31.015522645730254,240.62566139046032,86.48338860339402,193.87083278676025,31.462369888986213,193.87083278676025
2,832,491296.4241474037,568,41.26698819943193,35.34465167213338,491296.4241474037,35.78827375200283,48.695652719247384,39.890620941097076,48.695652719247384,30.212483419016323,135.1933477785393,32.99843282576651,135.1933477785393,30.40976698442532,134.61356198718406,32.72206086025566,134.61356198718406,37.88351318765337,99.92538830150787,35.171523692544774,99.92538830150787
3,669,810618.7891977247,70,28.941175174275116,92.19079892035975,810618.7891977247,27.221659360273406,10.975962326245114,88.50521182992901,10.975962326245114,26.742472411394182,11.137826639823924,88.83070756212507,11.137826639823924,26.7481229046061,11.127141821501278,88.85250633399643,11.127141821501278,26.775749679162693,11.125586982229652,88.83396726918774,11.125586982229652
4,533,490085.5818969966,155,75.50248827837771,46.69755190900999,490085.5818969966,74.21471740305786,14.950536138820537,43.201793210979496,14.950536138820537,76.81879992347629,20.95404562882969,46.03041116687864,20.95404562882969,76.82999505696414,20.952943000507172,46.02875780967458,20.952943000507172,75.94145689641759,19.5552804157424,44.75912932526537,19.5552804157424
5,255,952399.2311419316,1526,93.53407526407729,79.05788792800107,952399.2311419316,67.52071115203715,127.90239117838517,54.621130507528385,127.90239117838517,79.81826653633385,359.4209339976829,55.40886505180058,359.4209339976829,76.97824974877389,296.36894218119255,57.51035001178369,296.36894218119255,77.47304941282755,283.542850722843,56.29926063084429,283.542850722843
6,369,44556.38245043303,1761,4.503489039929916,95.87358926042965,44556.38245043303,33.96398414066384,137.1034911018805,67.13570005275383,137.1034911018805,6.55448808370737,800.6930752794572,89.43849011954164,800.6930752794572,19.795580295995723,719.0072416652746,84.16697723931912,719.0072416652746,29.1946586341071,400.5699809008927,85.06668962449635,400.5699809008927
7,142,603190.610968185,781,34.2290265951395,75.21286158854767,603190.610968185,36.33212970189547,58.61206298500813,62.136589759803215,58.61206298500813,13.565664009686811,301.6928781049436,74.16095432501005,301.6928781049436,19.640484050635035,242.39454794867737,78.23609094414451,242.39454794867737,26.50919454854553,198.1494578001071,79.6404514673845,198.1494578001071
8,431,283618.2179067152,1382,63.50044746193202,27.746672415170668,283618.2179067152,49.83746935631328,52.378786173317934,39.111845729990804,52.378786173317934,61.75788693713521,194.8331179836457,38.65774154358544,194.8331179836457,57.3930882379652,114.14276978614008,37.94693507964267,114.14276978614008,56.64118608397753,101.51778745061024,39.22206647035112,101.51778745061024
9,268,456831.15105830564,1404,55.67931852403192,41.13708118794527,456831.15105830564,47.67193086882616,58.65453898696504,43.145291198969424,58.65453898696504,55.04962982707607,283.37038635710053,67.18348132554824,283.37038635710053,59.27620825439412,174.1729191956661,51.681202114953464,174.1729191956661,55.86366468522126,134.21254214653942,45.767910508283556,134.21254214653942
10,310,661846.3200523511,272,26.832641551465674,2.364508257025026,661846.3200523511,32.508244933027086,21.308663750043397,16.931799866673536,21.308663750043397,30.27252617756687,54.856784000765465,13.67209440974092,54.856784000765465,30.33374490631495,33.6882072311585,12.422863132733081,33.6882072311585,30.269882163136092,33.27900129067649,12.627748770907502,33.27900129067649
11,467,767837.8139439905,490,14.815119646436894,76.00969069531318,767837.8139439905,28.38880163873899,33.75750077942142,69.07985891176352,33.75750077942142,17.274046284688247,137.48857272990537,78.9656867226361,137.48857272990537,18.982007641717054,74.70822739293514,75.75885965186309,74.70822739293514,22.59458438599465,60.220587889411604,75.93175428272934,60.220587889411604
12,992,439647.77598773554,768,85.76567165720705,73.82883282062598,439647.77598773554,74.40543429833076,45.450206063721474,65.01428929952529,45.450206063721474,86.94052860251493,107.68171979975241,85.00684650177188,107.68171979975241,85.31999341787075,106.73604715938826,85.51478634156612,106.73604715938826,82.7473909586433,73.78458527934184,77.47141267199422,73.78458527934184
13,45,582931.5558378036,482,30.53144341931868,98.69275525133592,582931.5558378036,35.58530125605635,80.1588045196225,80.02093795683707,80.1588045196225,34.08918800626546,113.2930109288659,89.3008788951305,113.2930109288659,35.7623322730775,99.18236665066956,86.87815893616731,99.18236665066956,34.88228068980465,95.67948784480618,86.83631715286813,95.67948784480618
