,sample,genome_position,time,true_location_0,true_location_1,midpoint_estimated_location_0,midpoint_estimated_location_1,midpoint_error_0,midpoint_abs_error_0,position_in_arg,arg_estimated_location_0,arg_variance_in_estimated_location_0,arg_estimated_location_1,arg_variance_in_estimated_location_1,arg_error_0,arg_abs_error_0,window_0_estimated_location_0,window_0_variance_in_estimated_location_0,window_0_estimated_location_1,window_0_variance_in_estimated_location_1,window_0_error_0,window_0_abs_error_0,window_100_estimated_location_0,window_100_variance_in_estimated_location_0,window_100_estimated_location_1,window_100_variance_in_estimated_location_1,window_100_error_0,window_100_abs_error_0
0,292,32585.065282054627,988,4.14186031087958,0.13064400861822198,32.555667520457575,12.609138717722058,-28.413807209577996,28.413807209577996,32585.065282054627,28.01130306734664,62.26997416735785,33.33928155800379,62.26997416735785,-23.86944275646706,23.86944275646706,29.95784958194727,452.92475919496945,9.948811487729927,452.92475919496945,-25.81598927106769,25.81598927106769,17.981929893934478,186.03138029010256,19.866767949144386,186.03138029010256,-13.840069583054898,13.840069583054898
1,295,14832.446024553692,947,79.54325828779756,42.32576915845849,79.9976590243766,48.160580197327,-0.45440073657904634,0.45440073657904634,14832.446024553692,66.93339473545379,45.87890809328198,43.64270615980536,45.87890809328198,12.609863552343768,12.609863552343768,73.4180485484138,99.05064041212685,47.303089469468084,99.05064041212685,6.125209739383763,6.125209739383763,76.34293128229362,68.77148364079993,50.395054947006656,68.77148364079993,3.2003270055039366,3.2003270055039366
2,416,491296.4241474037,568,36.93577553410756,66.94579175192565,22.183116699566355,68.67834053729702,14.752658834541208,14.752658834541208,491296.4241474037,35.058789606202716,42.04470322557401,64.8533510856598,42.04470322557401,1.8769859279048475,1.8769859279048475,29.62441742602725,119.97048989818111,66.31802399243463,119.97048989818111,7.311358108080313,7.311358108080313,27.476116956531907,106.7829595648377,65.01958311735864,106.7829595648377,9.459658577575656,9.459658577575656
3,334,810618.7891977247,70,55.73977627336471,43.83597747434959,52.03045840497758,43.23916646778109,3.7093178683871315,3.7093178683871315,810618.7891977247,52.11657097355139,26.59189145091328,43.254885953737194,26.59189145091328,3.6232052998133213,3.6232052998133213,53.44020259213808,28.752655652375772,43.447195585922046,28.752655652375772,2.299573681226633,2.299573681226633,53.03420414305455,28.1557700340498,42.78256403004873,28.1557700340498,2.705572130310159,2.705572130310159
4,266,490085.5818969966,155,23.652258715424956,30.756146011647964,21.90743057046791,37.25901293117405,1.7448281449570473,1.7448281449570473,490085.5818969966,22.79275352767788,20.545286818045703,35.819707914157135,20.545286818045703,0.8595051877470752,0.8595051877470752,22.926311343582107,26.177007486566303,34.70966479513254,26.177007486566303,0.7259473718428495,0.7259473718428495,22.185710153400464,23.635835543863696,34.46842578109833,23.635835543863696,1.4665485620244922,1.4665485620244922
5,127,952399.2311419316,1526,33.08169502228502,92.84726126812559,32.03710248893038,77.43148532673365,1.0445925333546384,1.0445925333546384,952399.2311419316,39.784978539625264,88.7436472475583,60.97505453934093,88.7436472475583,-6.703283517340246,6.703283517340246,37.60020064662007,367.7576339759471,87.39171923263326,367.7576339759471,-4.518505624335049,4.518505624335049,36.74211810070821,304.6293662789282,81.85030444032881,304.6293662789282,-3.660423078423193,3.660423078423193
6,184,44556.38245043303,1761,20.656108711263258,80.3926024084354,44.04142982839075,78.35663807341086,-23.38532111712749,23.38532111712749,44556.38245043303,39.825996452659574,128.0978199944042,57.44511637468956,128.0978199944042,-19.169887741396316,19.169887741396316,30.06235180120109,366.6485304695873,78.1862144332643,366.6485304695873,-9.406243089937831,9.406243089937831,28.142431458431606,191.1048358800203,57.150192575404894,191.1048358800203,-7.486322747168348,7.486322747168348
7,71,603190.610968185,781,92.18796603796405,12.502868770764232,92.2085964988664,28.86896524709867,-0.02063046090235332,0.02063046090235332,603190.610968185,71.9746191291454,61.62553103467286,39.290720674876894,61.62553103467286,20.21334690881865,20.21334690881865,93.26041343420093,183.18133800839183,20.469660483770827,183.18133800839183,-1.072447396236882,1.072447396236882,86.92536118468611,95.81090403094235,27.70989508939548,95.81090403094235,5.262604853277935,5.262604853277935
8,215,283618.2179067152,1382,6.001423590970588,37.47217074968501,6.677779897674256,47.81372510550547,-0.676356306703668,0.676356306703668,283618.2179067152,28.84682424474524,94.87702116032844,49.016045844235144,94.87702116032844,-22.84540065377465,22.84540065377465,6.846148215260109,336.5330450830736,54.90247658395285,336.5330450830736,-0.8447246242895208,0.8447246242895208,17.662076439068905,185.1701254720519,44.558071786828116,185.1701254720519,-11.660652848098316,11.660652848098316
9,134,456831.15105830564,1404,78.6484156665882,39.827197209748654,92.41295307965991,36.18665990192321,-13.764537413071707,13.764537413071707,456831.15105830564,63.85485323003022,73.24070907175788,43.006466601814125,73.24070907175788,14.793562436557984,14.793562436557984,93.7139479337472,605.3490115646077,33.589648558218386,605.3490115646077,-15.065532267159,15.065532267159,79.2876029473395,173.4796262366853,37.714500476240474,173.4796262366853,-0.6391872807512868,0.6391872807512868
10,155,661846.3200523511,272,9.773978478447665,58.19540148708894,16.899002873127568,59.130042780554675,-7.125024394679903,7.125024394679903,661846.3200523511,16.694513156437353,32.98553663550079,56.246777186225614,32.98553663550079,-6.9205346779896875,6.9205346779896875,16.266054263260415,94.78481303627993,57.678383812311324,94.78481303627993,-6.49207578481275,6.49207578481275,16.733296700107353,89.02465340434475,58.842332042033895,89.02465340434475,-6.959318221659688,6.959318221659688
11,233,767837.8139439905,490,8.965142300647122,11.176749222381183,27.46231433017524,12.793934254322195,-18.497172029528116,18.497172029528116,767837.8139439905,28.484967503982254,64.32122737074383,23.922447570260594,64.32122737074383,-19.51982520333513,19.51982520333513,30.680055252681825,156.19714668144124,12.69001252483218,156.19714668144124,-21.7149129520347,21.7149129520347,22.64252273245092,87.88391108104496,17.182518180571385,87.88391108104496,-13.6773804318038,13.6773804318038
