,sample,genome_position,time,true_location_0,true_location_1,midpoint_estimated_location_0,midpoint_estimated_location_1,midpoint_error_0,midpoint_abs_error_0,position_in_arg,arg_estimated_location_0,arg_variance_in_estimated_location_0,arg_estimated_location_1,arg_variance_in_estimated_location_1,arg_error_0,arg_abs_error_0,window_0_estimated_location_0,window_0_variance_in_estimated_location_0,window_0_estimated_location_1,window_0_variance_in_estimated_location_1,window_0_error_0,window_0_abs_error_0,window_10_estimated_location_0,window_10_variance_in_estimated_location_0,window_10_estimated_location_1,window_10_variance_in_estimated_location_1,window_10_error_0,window_10_abs_error_0,window_100_estimated_location_0,window_100_variance_in_estimated_location_0,window_100_estimated_location_1,window_100_variance_in_estimated_location_1,window_100_error_0,window_100_abs_error_0
421,253,774872.1369157723,973,149.5646474813519,137.58674262019386,161.63445083005857,149.78388686286178,-12.069803348706671,12.069803348706671,774872.1369157723,149.55874785107636,70.01388403527905,148.41336745026297,70.01388403527905,0.005899630275536083,0.005899630275536083,158.97364655727594,197.17992858168782,148.42564460155333,197.17992858168782,-9.408999075924044,9.408999075924044,154.14923220332875,128.82399691092496,144.81042402105808,128.82399691092496,-4.584584721976853,4.584584721976853,151.62367165732195,105.27880321314707,146.93806327664757,105.27880321314707,-2.059024175970052,2.059024175970052
422,149,758028.3052075168,112,116.40381388906997,153.60305960826832,129.82059668699483,152.8742208559495,-13.416782797924867,13.416782797924867,758028.3052075168,132.95472139971542,34.04357807938306,148.94156216329566,34.04357807938306,-16.55090751064546,16.55090751064546,129.88229129033144,50.037222023267894,152.92830095827003,50.037222023267894,-13.478477401261472,13.478477401261472,129.88229129030915,50.03722202283666,152.92830095827074,50.03722202283666,-13.47847740123919,13.47847740123919,130.31621650354788,49.25610113382712,152.70776207265192,49.25610113382712,-13.912402614477912,13.912402614477912
423,244,294133.4102068094,737,121.25314765166964,138.9579737832978,136.4313339449905,147.55545981689008,-15.178186293320877,15.178186293320877,294133.4102068094,144.89567229655776,44.046665823107865,150.3141324401752,44.046665823107865,-23.642524644888127,23.642524644888127,132.60610210523157,180.74633977406197,148.15092316788605,180.74633977406197,-11.352954453561935,11.352954453561935,132.60610210520096,180.74633977323782,148.15092316796085,180.74633977323782,-11.352954453531325,11.352954453531325,139.54556221164023,109.91404144379685,145.80133181777938,109.91404144379685,-18.292414559970595,18.292414559970595
424,34,78182.24543870233,1079,141.6802443893528,131.68090384937884,143.44350644101578,146.27836413203204,-1.7632620516629913,1.7632620516629913,78182.24543870233,147.84779777013165,76.48799307987436,150.0759125230473,76.48799307987436,-6.167553380778855,6.167553380778855,143.55731993090762,498.87735768679823,147.18422350832114,498.87735768679823,-1.8770755415548308,1.8770755415548308,142.46507618507874,471.4835755505302,146.1415437190099,471.4835755505302,-0.7848317957259496,0.7848317957259496,143.4866515208273,231.7660521623161,154.89629812973493,231.7660521623161,-1.806407131474515,1.806407131474515
425,218,38540.99743995087,1945,129.0105300406223,206.42360381740696,137.9122266447386,160.01576834856382,-8.901696604116296,8.901696604116296,38540.99743995087,148.19876754616496,546.948209388203,156.6628302866601,546.948209388203,-19.188237505542645,19.188237505542645,137.55127494041142,787.9459134277068,159.24162758368865,787.9459134277068,-8.540744899789104,8.540744899789104,137.5512749405549,787.9459134273703,159.24162758363673,787.9459134273703,-8.540744899932577,8.540744899932577,146.0671765321114,692.7678779649026,158.21102425620535,692.7678779649026,-17.05664649148909,17.05664649148909
426,434,680055.1753993254,1941,142.58078332575127,208.9249054576189,148.95031750549418,170.81330093625763,-6.369534179742914,6.369534179742914,680055.1753993254,148.52447962539634,332.71799510697343,155.57573347934175,332.71799510697343,-5.943696299645069,5.943696299645069,148.57988371478945,950.1716368049362,170.9519109392458,950.1716368049362,-5.999100389038176,5.999100389038176,148.5798837144519,950.1716368044359,170.9519109395259,950.1716368044359,-5.99910038870064,5.99910038870064,146.2393868937174,642.9448406967605,156.90489768170252,642.9448406967605,-3.6586035679661393,3.6586035679661393
427,469,650922.9387360641,1636,124.96434632548457,169.591129774665,147.18632005226246,150.19101103888988,-22.22197372677789,22.22197372677789,650922.9387360641,147.31979434021716,59.3774479672022,153.5627512649914,59.3774479672022,-22.355448014732588,22.355448014732588,145.93444273593116,209.39991961657304,151.85735010543547,209.39991961657304,-20.970096410446587,20.970096410446587,145.91664523587795,208.09666199341126,151.89875290704066,208.09666199341126,-20.95229891039338,20.95229891039338,147.49611670470404,105.81555332495033,154.06484800124815,105.81555332495033,-22.531770379219466,22.531770379219466
428,451,170442.6342875105,90,151.14109418755277,166.9673605848638,147.31734270141285,165.36595033447674,3.823751486139912,3.823751486139912,170442.6342875105,147.79133497997145,18.62689100237198,163.65566844740516,18.62689100237198,3.3497592075813145,3.3497592075813145,150.38062883215525,21.72587602849609,166.42779918028086,21.72587602849609,0.760465355397514,0.760465355397514,150.36996647669073,21.706783981148934,166.39957949908458,21.706783981148934,0.7711277108620322,0.7711277108620322,150.3088677684498,21.628075000598106,166.2285108108266,21.628075000598106,0.832226419102966,0.832226419102966
429,406,228151.4307219824,858,165.62118236850844,142.8092715805234,150.14709444934095,148.8592851087436,15.474087919167488,15.474087919167488,228151.4307219824,151.633155671626,53.15076210864605,149.18503696668415,53.15076210864605,13.988026696882429,13.988026696882429,148.26142841294964,143.62139596310283,144.13487461009242,143.62139596310283,17.3597539555588,17.3597539555588,148.28496725764117,143.4086450562013,144.25069784156324,143.4086450562013,17.336215110867272,17.336215110867272,151.99848014534865,63.07843905883442,149.59695053162855,63.07843905883442,13.622702223159791,13.622702223159791
430,453,50086.27531243881,1899,101.96536543775295,181.11070914478876,131.55763373755894,160.4970591974942,-29.592268299805994,29.592268299805994,50086.27531243881,143.43763579952233,360.01929922195006,155.54486159883274,360.01929922195006,-41.472270361769375,41.472270361769375,132.11314800730142,972.9142816639755,159.87622801210838,972.9142816639755,-30.14778256954847,30.14778256954847,132.1131480069965,968.6955316646614,159.87622801217628,968.6955316646614,-30.14778256924356,30.14778256924356,132.36865338899784,967.6216112612393,159.81990235177398,967.6216112612393,-30.40328795124489,30.40328795124489
